VIVIENDAS ADJUDICADAS POR DISTRITOS DESDE 1/06/2015 A 31/12/2020;;;;;
DISTRITOS;TOTAL;REGLAMENTO ADJUDICACION;RESTO PROGRAMAS;;
ARGANZUELA;31;28;3;;
BARAJAS;346;294;52;;
CARABANCHEL;400;194;206;;
CENTRO;253;152;101;;
CHAMBERI;4;1;3;;
CIUDAD LINEAL;13;1;12;;
FUENCARRAL-EL PARDO;13;4;9;;
HORTALEZA;17;5;12;;
LATINA;108;3;105;;
MONCLOA;2;;2;;
MORATALAZ;17;6;11;;
PUENTE DE VALLECAS;191;107;84;;
RETIRO;15;6;9;;
SALAMANCA;1;1;;;
SAN BLAS;7;3;4;;
SIN DISTRITO;1;;1;;
TETUAN;192;124;68;;
USERA;309;147;162;;
VALLECAS VILLA;861;677;184;;
VICALVARO;122;106;16;;
VILLAVERDE;832;568;264;;
TOTAL;3735;2427;1308;;
